formant	vowel	length	frequency	
F1	i	l	370.4	
F2	i	l	2795.0	
F3	i	l	3748.6	
F1	i	l	331.7	
F2	i	l	2689.7	
F3	i	l	3544.0	
F1	i	l	391.2	
F2	i	l	2597.4	
F3	i	l	3599.0	
F1	i	l	348.2	
F2	i	l	2786.8	
F3	i	l	3417.0	
F1	i	l	359.2	
F2	i	l	2850.0	
F3	i	l	3740.2	
F1	i	l	348.2	
F2	i	l	2951.2	
F3	i	l	3734.6	
F1	i	l	383.6	
F2	i	l	2545.6	
F3	i	l	3350.8	
F1	i	l	433.5	
F2	i	l	2544.7	
F3	i	l	3450.7	
F1	i	l	375.5	
F2	i	l	2803.8	
F3	i	l	3767.3	
F1	i	l	334.7	
F2	i	l	2723.5	
F3	i	l	3397.2	
F1	i	l	423.8	
F2	i	l	2573.0	
F3	i	l	3375.2	
F1	i	l	310.6	
F2	i	l	2793.8	
F3	i	l	3350.0	
F1	i	l	352.8	
F2	i	l	2630.4	
F3	i	l	3101.0	
F1	i	l	334.2	
F2	i	l	2909.8	
F3	i	l	3716.4	
F1	i	l	341.0	
F2	i	l	2868.6	
F3	i	l	3677.4	
F1	i	s	392.0	
F2	i	s	2788.5	
F3	i	s	3585.6	
F1	i	s	372.2	
F2	i	s	2584.3	
F3	i	s	3141.2	
F1	i	s	347.2	
F2	i	s	2659.5	
F3	i	s	3575.2	
F1	i	s	358.7	
F2	i	s	2751.3	
F3	i	s	3465.2	
F1	i	s	370.2	
F2	i	s	2678.5	
F3	i	s	3811.8	
F1	i	s	371.8	
F2	i	s	2701.0	
F3	i	s	3278.2	
F1	i	s	352.0	
F2	i	s	2400.2	
F3	i	s	3044.2	
F1	i	s	416.8	
F2	i	s	2432.3	
F3	i	s	3272.0	
F1	i	s	364.0	
F2	i	s	2701.2	
F3	i	s	3466.5	
F1	i	s	365.0	
F2	i	s	2631.2	
F3	i	s	3209.8	
F1	i	s	438.5	
F2	i	s	2449.2	
F3	i	s	3015.3	
F1	i	s	356.8	
F2	i	s	2585.8	
F3	i	s	3111.7	
F1	i	s	371.2	
F2	i	s	2619.7	
F3	i	s	3048.8	
F1	i	s	356.7	
F2	i	s	2811.7	
F3	i	s	3711.5	
F1	i	s	397.5	
F2	i	s	2588.5	
F3	i	s	3080.2	
F1	e	l	529.2	
F2	e	l	2504.8	
F3	e	l	3028.2	
F1	e	l	496.0	
F2	e	l	2388.6	
F3	e	l	2978.6	
F1	e	l	459.8	
F2	e	l	2551.6	
F3	e	l	3187.2	
F1	e	l	462.4	
F2	e	l	2559.8	
F3	e	l	3074.8	
F1	e	l	501.8	
F2	e	l	2416.0	
F3	e	l	2892.4	
F1	e	l	451.6	
F2	e	l	2661.0	
F3	e	l	3241.0	
F1	e	l	399.0	
F2	e	l	2260.2	
F3	e	l	2890.8	
F1	e	l	497.8	
F2	e	l	2357.8	
F3	e	l	3034.4	
F1	e	l	468.0	
F2	e	l	2526.0	
F3	e	l	3125.4	
F1	e	l	515.6	
F2	e	l	2460.6	
F3	e	l	3119.0	
F1	e	l	521.2	
F2	e	l	2299.0	
F3	e	l	2962.6	
F1	e	l	483.4	
F2	e	l	2464.2	
F3	e	l	3027.0	
F1	e	l	447.8	
F2	e	l	2427.6	
F3	e	l	2872.2	
F1	e	l	493.4	
F2	e	l	2575.0	
F3	e	l	3193.4	
F1	e	l	435.0	
F2	e	l	2548.6	
F3	e	l	3126.6	
F1	e	s	766.4	
F2	e	s	2118.3	
F3	e	s	2856.7	
F1	e	s	809.0	
F2	e	s	1937.9	
F3	e	s	2940.5	
F1	e	s	835.0	
F2	e	s	1878.0	
F3	e	s	3016.1	
F1	e	s	879.6	
F2	e	s	1938.7	
F3	e	s	2930.8	
F1	e	s	791.8	
F2	e	s	1879.2	
F3	e	s	2815.2	
F1	e	s	811.2	
F2	e	s	2054.0	
F3	e	s	3063.3	
F1	e	s	666.6	
F2	e	s	1882.2	
F3	e	s	2747.6	
F1	e	s	779.5	
F2	e	s	1879.7	
F3	e	s	2919.3	
F1	e	s	868.3	
F2	e	s	1988.4	
F3	e	s	2860.7	
F1	e	s	774.5	
F2	e	s	1934.1	
F3	e	s	2992.0	
F1	e	s	744.4	
F2	e	s	1955.3	
F3	e	s	2852.7	
F1	e	s	754.6	
F2	e	s	2100.7	
F3	e	s	2954.9	
F1	e	s	761.2	
F2	e	s	1991.5	
F3	e	s	2629.6	
F1	e	s	753.2	
F2	e	s	2058.6	
F3	e	s	2743.6	
F1	e	s	790.7	
F2	e	s	1985.3	
F3	e	s	2857.5	
F1	a	l	849.0	
F2	a	l	1273.8	
F3	a	l	2458.3	
F1	a	l	951.5	
F2	a	l	1386.5	
F3	a	l	2945.0	
F1	a	l	886.5	
F2	a	l	1475.5	
F3	a	l	2858.8	
F1	a	l	1074.8	
F2	a	l	1492.8	
F3	a	l	2917.3	
F1	a	l	941.3	
F2	a	l	1427.5	
F3	a	l	3160.5	
F1	a	l	1088.5	
F2	a	l	1585.3	
F3	a	l	3030.5	
F1	a	l	790.5	
F2	a	l	1225.5	
F3	a	l	2780.5	
F1	a	l	931.0	
F2	a	l	1362.8	
F3	a	l	2698.0	
F1	a	l	1016.5	
F2	a	l	1506.3	
F3	a	l	2561.3	
F1	a	l	883.0	
F2	a	l	1431.0	
F3	a	l	2928.0	
F1	a	l	920.8	
F2	a	l	1434.3	
F3	a	l	2746.0	
F1	a	l	951.8	
F2	a	l	1486.0	
F3	a	l	2910.5	
F1	a	l	903.5	
F2	a	l	1366.0	
F3	a	l	2331.8	
F1	a	l	893.5	
F2	a	l	1294.0	
F3	a	l	2537.3	
F1	a	l	1043.8	
F2	a	l	1499.5	
F3	a	l	2701.8	
F1	a	s	819.8	
F2	a	s	1297.6	
F3	a	s	2438.0	
F1	a	s	941.4	
F2	a	s	1345.5	
F3	a	s	2850.6	
F1	a	s	879.6	
F2	a	s	1518.5	
F3	a	s	2766.8	
F1	a	s	1050.8	
F2	a	s	1538.9	
F3	a	s	2967.0	
F1	a	s	910.6	
F2	a	s	1379.5	
F3	a	s	3022.6	
F1	a	s	958.4	
F2	a	s	1592.0	
F3	a	s	2976.5	
F1	a	s	770.1	
F2	a	s	1254.8	
F3	a	s	2622.9	
F1	a	s	886.4	
F2	a	s	1391.9	
F3	a	s	2527.6	
F1	a	s	1004.6	
F2	a	s	1518.3	
F3	a	s	2552.8	
F1	a	s	838.6	
F2	a	s	1443.8	
F3	a	s	2869.6	
F1	a	s	908.9	
F2	a	s	1472.1	
F3	a	s	2778.8	
F1	a	s	944.8	
F2	a	s	1515.0	
F3	a	s	2818.1	
F1	a	s	855.5	
F2	a	s	1415.6	
F3	a	s	2306.3	
F1	a	s	907.0	
F2	a	s	1371.3	
F3	a	s	2384.9	
F1	a	s	992.9	
F2	a	s	1499.8	
F3	a	s	2648.5	
F1	u	l	359.3	
F2	u	l	674.3	
F3	u	l	2548.7	
F1	u	l	377.0	
F2	u	l	745.8	
F3	u	l	2952.5	
F1	u	l	348.2	
F2	u	l	742.2	
F3	u	l	2701.2	
F1	u	l	399.3	
F2	u	l	808.7	
F3	u	l	3075.3	
F1	u	l	358.7	
F2	u	l	764.7	
F3	u	l	2873.7	
F1	u	l	381.0	
F2	u	l	761.3	
F3	u	l	2663.3	
F1	u	l	362.3	
F2	u	l	750.8	
F3	u	l	2456.3	
F1	u	l	442.8	
F2	u	l	821.5	
F3	u	l	2712.2	
F1	u	l	400.0	
F2	u	l	866.0	
F3	u	l	2665.3	
F1	u	l	371.5	
F2	u	l	769.5	
F3	u	l	2792.6	
F1	u	l	437.8	
F2	u	l	793.7	
F3	u	l	2644.5	
F1	u	l	365.3	
F2	u	l	703.3	
F3	u	l	2817.5	
F1	u	l	408.5	
F2	u	l	765.5	
F3	u	l	2409.8	
F1	u	l	331.8	
F2	u	l	653.7	
F3	u	l	2700.0	
F1	u	l	377.2	
F2	u	l	730.7	
F3	u	l	2587.3	
F1	u	s	376.6	
F2	u	s	712.2	
F3	u	s	2555.0	
F1	u	s	398.4	
F2	u	s	854.4	
F3	u	s	2947.8	
F1	u	s	363.6	
F2	u	s	794.2	
F3	u	s	2855.4	
F1	u	s	388.6	
F2	u	s	815.2	
F3	u	s	3098.8	
F1	u	s	385.4	
F2	u	s	877.8	
F3	u	s	2848.0	
F1	u	s	437.0	
F2	u	s	957.8	
F3	u	s	2669.4	
F1	u	s	378.2	
F2	u	s	838.4	
F3	u	s	2483.4	
